Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
80.02	28.38	-9.89	87.00	0.72	6.09	0.00	-48.98	87.00	-40.14	131.01	47.88	6.23	0.00	-30.41	-46.09	-41.02	45.79	-64.77	6.47	0.00	37.24	23.18	-52.70	91.27	17.10	9.47	0.00	53.97	25.15	-59.39	113.76	4.17	10.06	0.00	71.88	27.36	-69.18	74.73	24.50	0.47	0.00	80.27	27.60	-84.18	-89.31	-4.10	2.19	0.00	84.39	28.39	-94.27	80.92	0.27	0.57	0.00	96.84	29.07	-57.81	104.99	10.58	6.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.01	28.38	-9.89	87.00	0.72	7.54	0.00	-48.97	87.00	-40.14	131.02	47.88	7.14	0.00	-30.42	-46.09	-41.02	45.78	-64.77	6.14	0.00	37.34	23.17	-52.67	91.33	17.03	9.94	0.00	54.05	25.16	-59.39	113.81	4.12	10.02	0.00	71.87	27.38	-69.17	74.79	24.50	1.39	0.00	80.27	27.58	-84.15	-89.30	-4.09	1.70	0.00	84.36	28.39	-94.29	80.93	0.30	0.58	0.00	96.79	29.04	-57.71	104.94	10.60	7.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.01	28.38	-9.89	87.01	0.72	7.98	0.00	-48.96	87.00	-40.14	131.02	47.87	6.70	0.00	-30.42	-46.09	-41.02	45.78	-64.77	5.78	0.00	37.45	23.14	-52.62	91.37	16.94	8.41	0.00	54.09	25.18	-59.37	113.85	4.07	10.38	0.00	71.84	27.38	-69.17	74.81	24.54	0.22	0.00	80.24	27.56	-84.14	-89.30	-4.10	1.76	0.00	84.38	28.35	-94.24	80.92	0.33	0.63	0.00	96.74	29.03	-57.64	104.91	10.62	7.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.01	28.39	-9.88	87.01	0.71	7.33	0.00	-48.95	86.99	-40.14	131.03	47.86	6.42	0.00	-30.42	-46.09	-41.02	45.78	-64.76	5.64	0.00	37.48	23.15	-52.61	91.43	16.90	8.83	0.00	54.06	25.20	-59.33	113.88	4.06	10.79	0.00	71.87	27.41	-69.18	74.83	24.59	0.43	0.00	80.21	27.55	-84.12	-89.30	-4.11	2.57	0.00	84.45	28.32	-94.16	80.90	0.33	1.55	0.00	96.72	29.05	-57.63	104.89	10.61	7.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.02	28.39	-9.88	87.01	0.71	7.06	0.00	-48.95	86.99	-40.13	131.04	47.86	7.52	0.00	-30.43	-46.09	-41.02	45.77	-64.76	5.71	0.00	37.45	23.19	-52.63	91.50	16.90	8.67	0.00	54.01	25.21	-59.27	113.91	4.04	10.13	0.00	71.98	27.45	-69.19	74.86	24.64	1.25	0.00	80.22	27.53	-84.08	-89.31	-4.09	1.26	0.00	84.51	28.34	-94.12	80.90	0.30	1.12	0.00	96.75	29.08	-57.68	104.89	10.59	6.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.02	28.39	-9.87	87.02	0.70	6.21	0.00	-48.95	86.99	-40.13	131.04	47.85	7.33	0.00	-30.43	-46.09	-41.02	45.77	-64.76	5.63	0.00	37.43	23.23	-52.64	91.59	16.90	9.41	0.00	54.03	25.20	-59.20	113.96	3.99	10.01	0.00	72.02	27.48	-69.19	74.86	24.69	0.34	0.00	80.26	27.51	-84.05	-89.31	-4.06	2.21	0.00	84.51	28.37	-94.13	80.90	0.29	0.11	0.00	96.78	29.10	-57.76	104.89	10.60	6.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.03	28.39	-9.87	87.02	0.69	7.96	0.00	-48.95	86.99	-40.13	131.04	47.85	7.17	0.00	-30.44	-46.08	-41.02	45.77	-64.76	6.29	0.00	37.47	23.22	-52.61	91.68	16.86	8.93	0.00	54.13	25.18	-59.20	114.03	3.91	9.87	0.00	71.92	27.47	-69.18	74.83	24.76	0.97	0.00	80.30	27.52	-84.05	-89.30	-4.06	2.83	0.00	84.47	28.38	-94.14	80.91	0.29	1.04	0.00	96.80	29.11	-57.82	104.90	10.60	7.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.04	28.39	-9.86	87.02	0.68	7.27	0.00	-48.96	86.99	-40.13	131.04	47.85	6.65	0.00	-30.44	-46.08	-41.02	45.77	-64.76	6.41	0.00	37.54	23.20	-52.57	91.76	16.80	9.38	0.00	54.23	25.21	-59.27	114.10	3.84	10.11	0.00	71.78	27.43	-69.19	74.79	24.84	0.13	0.00	80.30	27.56	-84.09	-89.29	-4.09	2.93	0.00	84.43	28.36	-94.14	80.91	0.31	1.51	0.00	96.80	29.10	-57.83	104.93	10.59	6.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.05	28.39	-9.85	87.03	0.67	7.83	0.00	-48.97	86.98	-40.13	131.04	47.85	7.25	0.00	-30.44	-46.08	-41.02	45.77	-64.77	5.73	0.00	37.57	23.21	-52.56	91.83	16.77	8.09	0.00	54.27	25.26	-59.34	114.17	3.82	9.84	0.00	71.79	27.41	-69.21	74.76	24.90	0.20	0.00	80.28	27.60	-84.12	-89.29	-4.13	2.28	0.00	84.42	28.33	-94.12	80.90	0.32	0.04	0.00	96.77	29.08	-57.78	104.95	10.54	7.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.06	28.38	-9.85	87.03	0.66	7.27	0.00	-48.98	86.98	-40.13	131.04	47.85	7.51	0.00	-30.44	-46.08	-41.02	45.77	-64.77	6.25	0.00	37.53	23.25	-52.59	91.90	16.78	9.16	0.00	54.26	25.29	-59.35	114.21	3.81	10.19	0.00	71.93	27.43	-69.21	74.74	24.92	0.67	0.00	80.26	27.59	-84.11	-89.29	-4.12	2.34	0.00	84.42	28.31	-94.11	80.91	0.32	1.11	0.00	96.73	29.07	-57.68	104.97	10.50	6.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.07	28.38	-9.84	87.03	0.65	8.20	0.00	-48.99	86.99	-40.14	131.03	47.85	6.77	0.00	-30.44	-46.08	-41.02	45.77	-64.77	6.13	0.00	37.46	23.28	-52.62	91.97	16.79	9.33	0.00	54.26	25.29	-59.29	114.25	3.78	9.85	0.00	72.06	27.44	-69.20	74.71	24.92	0.76	0.00	80.26	27.53	-84.07	-89.29	-4.06	1.55	0.00	84.42	28.32	-94.13	80.92	0.31	0.88	0.00	96.69	29.05	-57.62	104.99	10.48	6.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.08	28.38	-9.84	87.03	0.64	6.86	0.00	-49.00	86.99	-40.14	131.03	47.85	6.77	0.00	-30.44	-46.07	-41.02	45.77	-64.77	5.86	0.00	37.44	23.28	-52.61	92.02	16.78	9.43	0.00	54.27	25.29	-59.26	114.30	3.75	10.27	0.00	72.04	27.44	-69.21	74.67	24.93	0.01	0.00	80.27	27.49	-84.05	-89.29	-4.01	1.72	0.00	84.42	28.34	-94.16	80.93	0.30	0.92	0.00	96.68	29.05	-57.64	105.00	10.47	7.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.09	28.38	-9.83	87.03	0.63	6.93	0.00	-49.01	86.99	-40.14	131.02	47.86	7.06	0.00	-30.44	-46.07	-41.02	45.78	-64.78	6.04	0.00	37.49	23.24	-52.56	92.08	16.75	9.47	0.00	54.29	25.32	-59.33	114.35	3.74	10.31	0.00	71.96	27.43	-69.24	74.64	24.94	0.62	0.00	80.26	27.50	-84.05	-89.30	-4.04	1.19	0.00	84.42	28.36	-94.18	80.93	0.28	1.09	0.00	96.69	29.07	-57.72	105.02	10.47	6.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.10	28.37	-9.83	87.03	0.63	7.33	0.00	-49.02	86.99	-40.14	131.02	47.86	7.43	0.00	-30.44	-46.07	-41.02	45.78	-64.78	5.64	0.00	37.56	23.22	-52.53	92.14	16.73	8.89	0.00	54.30	25.35	-59.43	114.40	3.73	10.17	0.00	71.96	27.43	-69.27	74.61	24.92	0.28	0.00	80.23	27.54	-84.08	-89.31	-4.10	1.89	0.00	84.40	28.36	-94.18	80.92	0.27	0.09	0.00	96.72	29.09	-57.79	105.03	10.45	6.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.10	28.37	-9.83	87.03	0.63	7.05	0.00	-49.02	86.99	-40.14	131.01	47.86	6.88	0.00	-30.44	-46.07	-41.02	45.78	-64.78	5.81	0.00	37.59	23.21	-52.54	92.20	16.72	9.35	0.00	54.31	25.36	-59.47	114.45	3.70	10.21	0.00	72.05	27.45	-69.29	74.58	24.89	1.69	0.00	80.20	27.58	-84.12	-89.31	-4.14	2.80	0.00	84.37	28.34	-94.18	80.91	0.29	1.50	0.00	96.75	29.09	-57.77	105.03	10.44	7.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.10	28.37	-9.83	87.02	0.63	6.93	0.00	-49.03	86.99	-40.14	131.01	47.87	6.04	0.00	-30.43	-46.07	-41.02	45.78	-64.78	6.09	0.00	37.59	23.20	-52.56	92.27	16.70	9.70	0.00	54.34	25.38	-59.47	114.49	3.66	10.78	0.00	72.14	27.48	-69.30	74.52	24.89	1.50	0.00	80.19	27.59	-84.17	-89.30	-4.13	1.79	0.00	84.32	28.33	-94.21	80.91	0.33	0.45	0.00	96.76	29.06	-57.70	105.03	10.44	7.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.10	28.37	-9.83	87.02	0.63	7.57	0.00	-49.03	87.00	-40.15	131.00	47.87	6.74	0.00	-30.43	-46.07	-41.02	45.78	-64.78	5.61	0.00	37.60	23.19	-52.55	92.33	16.68	9.25	0.00	54.39	25.43	-59.49	114.51	3.64	10.51	0.00	72.13	27.47	-69.32	74.44	24.95	1.20	0.00	80.21	27.60	-84.21	-89.29	-4.09	1.95	0.00	84.28	28.35	-94.26	80.91	0.35	0.45	0.00	96.76	29.02	-57.66	105.04	10.44	7.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.10	28.36	-9.84	87.02	0.64	5.78	0.00	-49.04	87.00	-40.14	131.00	47.87	7.50	0.00	-30.43	-46.07	-41.02	45.79	-64.77	6.29	0.00	37.64	23.21	-52.54	92.36	16.68	9.06	0.00	54.42	25.51	-59.54	114.54	3.66	9.01	0.00	72.04	27.43	-69.35	74.37	25.03	0.28	0.00	80.23	27.61	-84.21	-89.29	-4.08	3.23	0.00	84.29	28.37	-94.29	80.91	0.34	0.44	0.00	96.74	29.01	-57.67	105.05	10.44	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.09	28.36	-9.84	87.02	0.65	7.85	0.00	-49.03	87.00	-40.14	131.00	47.87	7.09	0.00	-30.42	-46.08	-41.02	45.79	-64.77	5.87	0.00	37.67	23.26	-52.54	92.40	16.71	9.18	0.00	54.42	25.54	-59.55	114.56	3.68	9.81	0.00	71.98	27.36	-69.35	74.31	25.09	0.36	0.00	80.23	27.58	-84.18	-89.30	-4.11	2.44	0.00	84.34	28.37	-94.26	80.90	0.32	1.63	0.00	96.70	29.02	-57.70	105.05	10.44	7.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.08	28.36	-9.85	87.02	0.66	7.70	0.00	-49.03	87.01	-40.14	131.00	47.87	6.88	0.00	-30.42	-46.08	-41.02	45.79	-64.77	5.42	0.00	37.65	23.32	-52.57	92.43	16.78	8.92	0.00	54.41	25.49	-59.49	114.58	3.66	9.93	0.00	71.96	27.31	-69.32	74.26	25.12	1.39	0.00	80.20	27.54	-84.14	-89.32	-4.14	1.15	0.00	84.40	28.35	-94.21	80.89	0.30	0.88	0.00	96.69	29.04	-57.69	105.03	10.46	6.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.07	28.36	-9.86	87.02	0.67	7.55	0.00	-49.03	87.01	-40.14	131.00	47.87	7.82	0.00	-30.42	-46.08	-41.02	45.78	-64.76	5.68	0.00	37.60	23.35	-52.59	92.48	16.85	10.02	0.00	54.41	25.43	-59.43	114.60	3.64	10.84	0.00	71.99	27.30	-69.30	74.21	25.15	0.54	0.00	80.19	27.52	-84.15	-89.31	-4.13	2.03	0.00	84.44	28.33	-94.17	80.87	0.30	0.41	0.00	96.71	29.03	-57.67	105.02	10.47	7.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.06	28.36	-9.87	87.01	0.68	6.66	0.00	-49.02	87.02	-40.14	131.00	47.87	7.05	0.00	-30.41	-46.09	-41.02	45.78	-64.76	6.51	0.00	37.60	23.31	-52.59	92.52	16.89	8.54	0.00	54.43	25.46	-59.47	114.62	3.66	10.94	0.00	72.03	27.33	-69.31	74.16	25.20	1.13	0.00	80.21	27.54	-84.17	-89.31	-4.09	2.21	0.00	84.42	28.33	-94.17	80.86	0.31	0.57	0.00	96.76	29.00	-57.67	105.02	10.46	6.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.05	28.35	-9.87	87.01	0.69	9.12	0.00	-49.02	87.02	-40.14	131.00	47.87	6.68	0.00	-30.41	-46.09	-41.02	45.78	-64.76	6.69	0.00	37.63	23.27	-52.57	92.57	16.90	8.89	0.00	54.45	25.54	-59.56	114.64	3.71	9.63	0.00	72.05	27.36	-69.33	74.12	25.25	1.47	0.00	80.24	27.55	-84.16	-89.31	-4.06	1.86	0.00	84.39	28.32	-94.19	80.86	0.30	0.32	0.00	96.81	28.99	-57.70	105.02	10.45	6.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.04	28.35	-9.88	87.01	0.69	7.59	0.00	-49.01	87.02	-40.14	131.00	47.87	6.62	0.00	-30.40	-46.09	-41.02	45.78	-64.75	5.94	0.00	37.66	23.28	-52.59	92.60	16.91	8.42	0.00	54.43	25.55	-59.56	114.64	3.75	10.89	0.00	72.04	27.36	-69.34	74.12	25.29	1.00	0.00	80.24	27.52	-84.11	-89.32	-4.07	1.94	0.00	84.37	28.31	-94.20	80.87	0.30	1.53	0.00	96.83	29.02	-57.74	105.02	10.46	7.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.03	28.35	-9.89	87.01	0.70	6.71	0.00	-49.01	87.03	-40.13	131.01	47.87	7.30	0.00	-30.40	-46.10	-41.02	45.78	-64.75	6.89	0.00	37.64	23.33	-52.62	92.63	16.95	9.22	0.00	54.42	25.46	-59.42	114.62	3.73	10.02	0.00	72.00	27.35	-69.35	74.14	25.30	0.38	0.00	80.22	27.46	-84.06	-89.33	-4.09	2.77	0.00	84.40	28.29	-94.18	80.88	0.32	0.13	0.00	96.81	29.06	-57.73	104.99	10.48	7.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
